city,state,zip
Minneapolis,MN,55421
Los Angeles,CA,90001
Chicago,IL,60601
Houston,TX,77001
Phoenix,AZ,85001
New York,NY,10001
Philadelphia,PA,19101
San Antonio,TX,78201
San Diego,CA,92101
Dallas,TX,75201
San Jose,CA,95101
Austin,TX,78701
Jacksonville,FL,32201
Fort Worth,TX,76101
Columbus,OH,43201
Charlotte,NC,28201
San Francisco,CA,94101
Indianapolis,IN,46201
Seattle,WA,98101
Denver,CO,80201
Washington,DC,20001
Boston,MA,02101
El Paso,TX,79901
Nashville,TN,37201
Detroit,MI,48201
Portland,OR,97201
Oklahoma City,OK,73101
Las Vegas,NV,89101
Memphis,TN,38101
Louisville,KY,40201
Baltimore,MD,21201
Milwaukee,WI,53201
Albuquerque,NM,87101
Tucson,AZ,85701
Fresno,CA,93701
Sacramento,CA,95814
Kansas City,MO,64101
Mesa,AZ,85201
Atlanta,GA,30301
Omaha,NE,68101
Colorado Springs,CO,80901
Raleigh,NC,27601
Virginia Beach,VA,23451
Miami,FL,33101
Oakland,CA,94601
Minneapolis,MN,55422
Minneapolis,MN,55423
Minneapolis,MN,55424
Los Angeles,CA,90002
Los Angeles,CA,90003
Los Angeles,CA,90004
Chicago,IL,60602
Chicago,IL,60603
Chicago,IL,60604
Houston,TX,77002
Houston,TX,77003
Houston,TX,77004
Phoenix,AZ,85002
Phoenix,AZ,85003
Phoenix,AZ,85004
New York,NY,10002
New York,NY,10003
New York,NY,10004
Philadelphia,PA,19102
Philadelphia,PA,19103
Philadelphia,PA,19104
San Antonio,TX,78202
San Antonio,TX,78203
San Antonio,TX,78204
San Diego,CA,92102
San Diego,CA,92103
San Diego,CA,92104
Dallas,TX,75202
Dallas,TX,75203
Dallas,TX,75204
San Jose,CA,95102
San Jose,CA,95103
San Jose,CA,95104
Austin,TX,78702
Austin,TX,78703
Austin,TX,78704
Jacksonville,FL,32202
Jacksonville,FL,32203
Jacksonville,FL,32204
Fort Worth,TX,76102
Fort Worth,TX,76103
Fort Worth,TX,76104
Columbus,OH,43202
Columbus,OH,43203
Columbus,OH,43204
Charlotte,NC,28202
Charlotte,NC,28203
Charlotte,NC,28204
San Francisco,CA,94102
San Francisco,CA,94103
San Francisco,CA,94104
Indianapolis,IN,46202
Indianapolis,IN,46203
Indianapolis,IN,46204
Seattle,WA,98102
Seattle,WA,98103
Seattle,WA,98104

