city,state,zip,payout,niche
Minneapolis,MN,55421,162.00,roofing
Los Angeles,CA,90001,166.95,roofing
Chicago,IL,60601,155.50,roofing
Houston,TX,77001,158.75,roofing
Phoenix,AZ,85001,159.25,roofing
New York,NY,10001,175.00,roofing
Philadelphia,PA,19101,160.50,roofing
San Antonio,TX,78201,157.25,roofing
San Diego,CA,92101,168.50,roofing
Dallas,TX,75201,158.00,roofing
Minneapolis,MN,55422,162.00,roofing
Los Angeles,CA,90002,166.95,roofing
Chicago,IL,60602,155.50,roofing
Houston,TX,77002,158.75,roofing
Phoenix,AZ,85002,159.25,roofing

