Zip Code,CPL Buyer Payouts,city,state_id
55421,162.00,Minneapolis,MN
55422,162.00,Minneapolis,MN
55423,162.00,Minneapolis,MN
90001,166.95,Los Angeles,CA
90002,166.95,Los Angeles,CA
90003,166.95,Los Angeles,CA
60601,155.50,Chicago,IL
60602,155.50,Chicago,IL
60603,155.50,Chicago,IL
77001,158.75,Houston,TX
77002,158.75,Houston,TX
77003,158.75,Houston,TX
85001,159.25,Phoenix,AZ
85002,159.25,Phoenix,AZ
85003,159.25,Phoenix,AZ
10001,175.00,New York,NY
10002,175.00,New York,NY
10003,175.00,New York,NY
19101,160.50,Philadelphia,PA
19102,160.50,Philadelphia,PA
19103,160.50,Philadelphia,PA
78201,157.25,San Antonio,TX
78202,157.25,San Antonio,TX
78203,157.25,San Antonio,TX
92101,168.50,San Diego,CA
92102,168.50,San Diego,CA
92103,168.50,San Diego,CA
75201,158.00,Dallas,TX
75202,158.00,Dallas,TX
75203,158.00,Dallas,TX

